006201,元大富櫃50,12.27,-0.07 ,12.34,12.34,12.25,12.27,"120,000","1,472,730",29,12.25,12.27,"16,446,000",12.27,13.49,11.05
3374,精材,46.95,-0.95 ,47.30,47.40,46.40,46.81,"2,356,000","110,277,250","1,628",46.90,46.95,"271,794,916",46.95,51.60,42.30
3379,彬台,10.60,-0.45 ,11.10,11.10,10.50,10.82,"11,432","123,644",14,10.60,10.90,"38,041,748",10.60,11.65,9.54
3388,崇越電,77.40,-0.80 ,77.70,77.70,77.00,77.25,"106,090","8,195,038",56,77.40,77.50,"64,061,000",77.40,85.10,69.70
3390,旭軟,23.60,-0.10 ,23.70,23.70,23.15,23.49,"85,190","2,001,444",60,23.55,23.60,"66,981,059",23.60,25.95,21.25
3402,漢科,30.65,+0.25,30.50,30.70,30.35,30.54,"121,003","3,695,149",76,30.60,30.70,"73,047,692",30.65,33.70,27.60
3426,台興,54.40,-1.50 ,55.80,55.80,54.40,54.78,"35,019","1,918,326",35,54.40,55.00,"26,400,000",54.40,59.80,49.00
3428,光燿科,34.65,+0.15,34.70,34.70,33.70,34.39,"517,902","17,812,401",289,34.00,34.65,"95,970,371",34.65,38.10,31.20
3431,長天,5.19,+0.01,5.18,5.19,5.18,5.19,"22,000","114,130",11,5.19,5.29,"35,458,704",5.19,5.70,4.68
3434,哲固,14.05,+0.05,14.05,14.25,13.85,13.97,"36,000","502,900",29,14.00,14.05,"22,700,000",14.05,15.45,12.65
3438,類比科,15.40,+0.10,15.15,15.45,15.15,15.35,"83,012","1,274,532",62,15.40,15.50,"67,379,735",15.40,16.90,13.90
3441,聯一光,26.05,-0.20 ,26.40,26.45,25.65,26.02,"113,380","2,950,217",96,25.90,26.05,"40,039,920",26.05,28.65,23.45
